wannier90 format for mvmcdry
         3
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3    0    2    1   0.0503943161   0.0002715776
   -3   -3    0    2    2   0.0497859596   0.0002775196
   -3   -3    0    2    3   0.0498594591   0.0002779734
   -3   -3    0    3    1   0.0503885340   0.0002714839
   -3   -3    0    3    2   0.0498594588   0.0002779382
   -3   -3    0    3    3   0.0497752437   0.0002773836
   -3   -3    1    1    1   0.0482003693   0.0002961012
   -3   -3    1    1    2   0.0477255644   0.0003007385
   -3   -3    1    1    3   0.0477216573   0.0003006784
   -3   -3    1    2    1   0.0477255863   0.0003007258
   -3   -3    1    2    2   0.0472069512   0.0003043486
   -3   -3    1    2    3   0.0472474590   0.0003049736
   -3   -3    1    3    1   0.0477216969   0.0003006677
   -3   -3    1    3    2   0.0472474486   0.0003049622
   -3   -3    1    3    3   0.0471996613   0.0003042466
   -3   -3    2    1    1   0.0451017348   0.0003584559
   -3   -3    2    1    2   0.0449349652   0.0003594252
   -3   -3    2    1    3   0.0449335779   0.0003594129
   -3   -3    2    2    1   0.0449349937   0.0003594508
   -3   -3    2    2    2   0.0448170932   0.0003610836
   -3   -3    2    2    3   0.0448178549   0.0003607238
   -3   -3    2    3    1   0.0449335771   0.0003594107
   -3   -3    2    3    2   0.0448178190   0.0003606872
   -3   -3    2    3    3   0.0448143732   0.0003610359
   -3   -3    3    1    1   0.0212773615   0.0001930401
   -3   -3    3    1    2   0.0212936812   0.0001931969
   -3   -3    3    1    3   0.0212933147   0.0001931902
   -3   -3    3    2    1   0.0212936811   0.0001931907
   -3   -3    3    2    2   0.0212770849   0.0001929612
   -3   -3    3    2    3   0.0212931409   0.0001931513
   -3   -3    3    3    1   0.0212933146   0.0001931843
   -3   -3    3    3    2   0.0212931409   0.0001931451
   -3   -3    3    3    3   0.0212763383   0.0001929486
   -3   -2   -3    1    1   0.0448158202   0.0003611432
   -3   -2   -3    1    2   0.0448180168   0.0003607622
   -3   -2   -3    1    3   0.0449340414   0.0003594245
   -3   -2   -3    2    1   0.0448180524   0.0003607283
   -3   -2   -3    2    2   0.0448161098   0.0003610598
   -3   -2   -3    2    3   0.0449343545   0.0003593731
   -3   -2   -3    3    1   0.0449340192   0.0003594242
   -3   -2   -3    3    2   0.0449343035   0.0003593983
   -3   -2   -3    3    3   0.0451012712   0.0003583723
   -3   -2   -2    1    1   0.0929951162   0.0006498944
   -3   -2   -2    1    2   0.0928240906   0.0006542066
   -3   -2   -2    1    3   0.0931251851   0.0006504951
   -3   -2   -2    2    1   0.0928239244   0.0006541839
   -3   -2   -2    2    2   0.0924974856   0.0006573768
   -3   -2   -2    2    3   0.0928176539   0.0006539979
   -3   -2   -2    3    1   0.0931250574   0.0006504501
   -3   -2   -2    3    2   0.0928176763   0.0006539762
   -3   -2   -2    3    3   0.0929834095   0.0006494995
   -3   -2   -1    1    1   0.1026644629   0.0004991353
   -3   -2   -1    1    2   0.1013591414   0.0005102952
   -3   -2   -1    1    3   0.1018900878   0.0005053798
   -3   -2   -1    2    1   0.1013591765   0.0005102230
   -3   -2   -1    2    2   0.1001015803   0.0005226165
   -3   -2   -1    2    3   0.1005767823   0.0005171204
   -3   -2   -1    3    1   0.1018901243   0.0005053779
   -3   -2   -1    3    2   0.1005768273   0.0005171740
