wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    3   10   0.0000000000  -0.0000000000
   -3   -3   -3    4    1   0.0000024043   0.0000000000
   -3   -3   -3    4    2   0.0000024084   0.0000000000
   -3   -3   -3    4    3   0.0000147632   0.0000000000
   -3   -3   -3    4    4  -0.0000392921  -0.0000000000
   -3   -3   -3    4    5   0.0000256216   0.0000000000
   -3   -3   -3    4    6   0.0000110541  -0.0000000000
   -3   -3   -3    4    7   0.0000110418  -0.0000000000
   -3   -3   -3    4    8   0.0000114950  -0.0000000000
   -3   -3   -3    4    9  -0.0000261155  -0.0000000000
   -3   -3   -3    4   10   0.0000198726  -0.0000000000
   -3   -3   -3    5    1  -0.0000000000   0.0000000000
   -3   -3   -3    5    2  -0.0000256216   0.0000000000
   -3   -3   -3    5    3   0.0000000000  -0.0000000000
   -3   -3   -3    5    4   0.0000256216  -0.0000000000
   -3   -3   -3    5    5   0.0000015960  -0.0000000000
   -3   -3   -3    5    6   0.0000000000   0.0000000000
   -3   -3   -3    5    7  -0.0000198726  -0.0000000000
   -3   -3   -3    5    8  -0.0000000000   0.0000000000
   -3   -3   -3    5    9   0.0000198726  -0.0000000000
   -3   -3   -3    5   10   0.0000498372   0.0000000000
   -3   -3   -3    6    1  -0.0000260801   0.0000000000
   -3   -3   -3    6    2   0.0000110541   0.0000000000
   -3   -3   -3    6    3  -0.0000231486  -0.0000000000
   -3   -3   -3    6    4   0.0000110541   0.0000000000
   -3   -3   -3    6    5   0.0000000000  -0.0000000000
   -3   -3   -3    6    6  -0.0000391614  -0.0000000000
   -3   -3   -3    6    7   0.0000024043   0.0000000000
   -3   -3   -3    6    8  -0.0000296863  -0.0000000000
   -3   -3   -3    6    9   0.0000024043   0.0000000000
   -3   -3   -3    6   10  -0.0000000000   0.0000000000
   -3   -3   -3    7    1   0.0000110541   0.0000000000
   -3   -3   -3    7    2  -0.0000261155   0.0000000000
   -3   -3   -3    7    3   0.0000114950  -0.0000000000
   -3   -3   -3    7    4   0.0000110418   0.0000000000
   -3   -3   -3    7    5  -0.0000198726   0.0000000000
   -3   -3   -3    7    6   0.0000024043  -0.0000000000
   -3   -3   -3    7    7  -0.0000392921  -0.0000000000
   -3   -3   -3    7    8   0.0000147632   0.0000000000
   -3   -3   -3    7    9   0.0000024084   0.0000000000
   -3   -3   -3    7   10  -0.0000256216   0.0000000000
   -3   -3   -3    8    1  -0.0000231486  -0.0000000000
   -3   -3   -3    8    2   0.0000114950  -0.0000000000
   -3   -3   -3    8    3   0.0000499814  -0.0000000000
   -3   -3   -3    8    4   0.0000114950   0.0000000000
   -3   -3   -3    8    5  -0.0000000000  -0.0000000000
   -3   -3   -3    8    6  -0.0000296863   0.0000000000
   -3   -3   -3    8    7   0.0000147632  -0.0000000000
   -3   -3   -3    8    8   0.0000012689  -0.0000000000
   -3   -3   -3    8    9   0.0000147632   0.0000000000
   -3   -3   -3    8   10   0.0000000000  -0.0000000000
   -3   -3   -3    9    1   0.0000110541  -0.0000000000
   -3   -3   -3    9    2   0.0000110418   0.0000000000
   -3   -3   -3    9    3   0.0000114950   0.0000000000
   -3   -3   -3    9    4  -0.0000261155   0.0000000000
   -3   -3   -3    9    5   0.0000198726   0.0000000000
   -3   -3   -3    9    6   0.0000024043  -0.0000000000
   -3   -3   -3    9    7   0.0000024084  -0.0000000000
   -3   -3   -3    9    8   0.0000147632  -0.0000000000
   -3   -3   -3    9    9  -0.0000392921  -0.0000000000
   -3   -3   -3    9   10   0.0000256216  -0.0000000000
   -3   -3   -3   10    1   0.0000000000  -0.0000000000
   -3   -3   -3   10    2  -0.0000198726   0.0000000000
   -3   -3   -3   10    3   0.0000000000   0.0000000000
   -3   -3   -3   10    4   0.0000198726   0.0000000000
   -3   -3   -3   10    5   0.0000498372  -0.0000000000
