wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -2    3    9   0.1317867845  -0.0001604079
   -3   -3   -2    3   10   0.1324863879  -0.0001630727
   -3   -3   -2    4    1   0.0778398303   0.0003184488
   -3   -3   -2    4    2   0.0776149181   0.0003182684
   -3   -3   -2    4    3   0.0777450845   0.0003164261
   -3   -3   -2    4    4   0.0775971270   0.0003181300
   -3   -3   -2    4    5   0.0781011285   0.0003169388
   -3   -3   -2    4    6   0.1319865619  -0.0001622779
   -3   -3   -2    4    7   0.1316540040  -0.0001609727
   -3   -3   -2    4    8   0.1317861824  -0.0001603473
   -3   -3   -2    4    9   0.1316387371  -0.0001608146
   -3   -3   -2    4   10   0.1323890018  -0.0001634031
   -3   -3   -2    5    1   0.0783294099   0.0003172943
   -3   -3   -2    5    2   0.0781008410   0.0003168444
   -3   -3   -2    5    3   0.0782339038   0.0003150307
   -3   -3   -2    5    4   0.0781005553   0.0003168829
   -3   -3   -2    5    5   0.0786144935   0.0003158270
   -3   -3   -2    5    6   0.1326813823  -0.0001647094
   -3   -3   -2    5    7   0.1323846946  -0.0001633333
   -3   -3   -2    5    8   0.1324836011  -0.0001630232
   -3   -3   -2    5    9   0.1323864934  -0.0001634267
   -3   -3   -2    5   10   0.1330472544  -0.0001659335
   -3   -3   -2    6    1   0.0680576689   0.0004172008
   -3   -3   -2    6    2   0.0675762203   0.0004169421
   -3   -3   -2    6    3   0.0676704114   0.0004151066
   -3   -3   -2    6    4   0.0675764408   0.0004169473
   -3   -3   -2    6    5   0.0682216416   0.0004156714
   -3   -3   -2    6    6   0.0781112663   0.0003190493
   -3   -3   -2    6    7   0.0778834337   0.0003186931
   -3   -3   -2    6    8   0.0780180045   0.0003169279
   -3   -3   -2    6    9   0.0778837487   0.0003187303
   -3   -3   -2    6   10   0.0783712940   0.0003175579
   -3   -3   -2    7    1   0.0675775390   0.0004168569
   -3   -3   -2    7    2   0.0671548129   0.0004171535
   -3   -3   -2    7    3   0.0672721197   0.0004152458
   -3   -3   -2    7    4   0.0671947992   0.0004172335
   -3   -3   -2    7    5   0.0677341682   0.0004152249
   -3   -3   -2    7    6   0.0778838450   0.0003187233
   -3   -3   -2    7    7   0.0776409599   0.0003184100
   -3   -3   -2    7    8   0.0777853056   0.0003167054
   -3   -3   -2    7    9   0.0776587239   0.0003185597
   -3   -3   -2    7   10   0.0781429747   0.0003171840
   -3   -3   -2    8    1   0.0676706563   0.0004150387
   -3   -3   -2    8    2   0.0672713075   0.0004152612
   -3   -3   -2    8    3   0.0673540826   0.0004132903
   -3   -3   -2    8    4   0.0672715108   0.0004152048
   -3   -3   -2    8    5   0.0678284725   0.0004133667
   -3   -3   -2    8    6   0.0780180671   0.0003169157
   -3   -3   -2    8    7   0.0777849623   0.0003166848
   -3   -3   -2    8    8   0.0779144889   0.0003149305
   -3   -3   -2    8    9   0.0777854523   0.0003166937
   -3   -3   -2    8   10   0.0782727751   0.0003153217
   -3   -3   -2    9    1   0.0675764862   0.0004169399
   -3   -3   -2    9    2   0.0671935457   0.0004173150
   -3   -3   -2    9    3   0.0672711330   0.0004152572
   -3   -3   -2    9    4   0.0671539965   0.0004171129
   -3   -3   -2    9    5   0.0677331850   0.0004153358
   -3   -3   -2    9    6   0.0778829531   0.0003186810
   -3   -3   -2    9    7   0.0776574631   0.0003185250
   -3   -3   -2    9    8   0.0777845470   0.0003166921
   -3   -3   -2    9    9   0.0776406320   0.0003184055
   -3   -3   -2    9   10   0.0781421367   0.0003171433
   -3   -3   -2   10    1   0.0682204125   0.0004156736
   -3   -3   -2   10    2   0.0677317497   0.0004153149
   -3   -3   -2   10    3   0.0678271663   0.0004134328
   -3   -3   -2   10    4   0.0677319362   0.0004153371
   -3   -3   -2   10    5   0.0683816049   0.0004140758
   -3   -3   -2   10    6   0.0783711322   0.0003175749
   -3   -3   -2   10    7   0.0781424310   0.0003171724
   -3   -3   -2   10    8   0.0782725722   0.0003153506
   -3   -3   -2   10    9   0.0781427277   0.0003172085
   -3   -3   -2   10   10   0.0786540879   0.0003160802
   -3   -3   -1    1    1   0.1175226330  -0.0000288643
   -3   -3   -1    1    2   0.1173148426  -0.0000265519
   -3   -3   -1    1    3   0.1172470638  -0.0000263266
   -3   -3   -1    1    4   0.1173129446  -0.0000266703
   -3   -3   -1    1    5   0.1177356291  -0.0000313555
   -3   -3   -1    1    6   0.1362779597  -0.0001922748
   -3   -3   -1    1    7   0.1354516230  -0.0001875212
   -3   -3   -1    1    8   0.1352239114  -0.0001853761
   -3   -3   -1    1    9   0.1354479260  -0.0001871939
   -3   -3   -1    1   10   0.1367400481  -0.0001967316
   -3   -3   -1    2    1   0.1173165546  -0.0000265226
   -3   -3   -1    2    2   0.1170510654  -0.0000243271
   -3   -3   -1    2    3   0.1169927927  -0.0000240481
   -3   -3   -1    2    4   0.1171021304  -0.0000242208
   -3   -3   -1    2    5   0.1175179586  -0.0000291936
   -3   -3   -1    2    6   0.1354518453  -0.0001875006
   -3   -3   -1    2    7   0.1346001593  -0.0001833077
   -3   -3   -1    2    8   0.1343725827  -0.0001813015
   -3   -3   -1    2    9   0.1346409863  -0.0001826775
   -3   -3   -1    2   10   0.1359152539  -0.0001918943
   -3   -3   -1    3    1   0.1172519620  -0.0000261515
   -3   -3   -1    3    2   0.1169963032  -0.0000240011
   -3   -3   -1    3    3   0.1169045738  -0.0000238536
   -3   -3   -1    3    4   0.1169937503  -0.0000240395
   -3   -3   -1    3    5   0.1174734281  -0.0000288652
   -3   -3   -1    3    6   0.1352245739  -0.0001853331
   -3   -3   -1    3    7   0.1343728983  -0.0001812978
   -3   -3   -1    3    8   0.1341101976  -0.0001796120
   -3   -3   -1    3    9   0.1343696536  -0.0001809995
   -3   -3   -1    3   10   0.1357289985  -0.0001896274
   -3   -3   -1    4    1   0.1173176444  -0.0000264085
   -3   -3   -1    4    2   0.1171054997  -0.0000241114
   -3   -3   -1    4    3   0.1169936532  -0.0000240234
   -3   -3   -1    4    4   0.1170495321  -0.0000243395
