wannier90 format for mvmcdry
         8
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -2    6    2   0.0130498322   0.0000225593
   -3   -3   -2    6    3   0.0132764248   0.0000221436
   -3   -3   -2    6    4   0.0132761958   0.0000221540
   -3   -3   -2    6    5   0.0143917509   0.0000198251
   -3   -3   -2    6    6   0.0138939287   0.0000212379
   -3   -3   -2    6    7   0.0140799274   0.0000204365
   -3   -3   -2    6    8   0.0140758411   0.0000204522
   -3   -3   -2    7    1   0.0129912098   0.0000227809
   -3   -3   -2    7    2   0.0127402996   0.0000230973
   -3   -3   -2    7    3   0.0129788307   0.0000228675
   -3   -3   -2    7    4   0.0129915591   0.0000228008
   -3   -3   -2    7    5   0.0140961562   0.0000204935
   -3   -3   -2    7    6   0.0136832136   0.0000218573
   -3   -3   -2    7    7   0.0137555624   0.0000213155
   -3   -3   -2    7    8   0.0137847385   0.0000210062
   -3   -3   -2    8    1   0.0129930845   0.0000227565
   -3   -3   -2    8    2   0.0127431464   0.0000230646
   -3   -3   -2    8    3   0.0129935336   0.0000227572
   -3   -3   -2    8    4   0.0129803515   0.0000228689
   -3   -3   -2    8    5   0.0140926513   0.0000204589
   -3   -3   -2    8    6   0.0136829940   0.0000218220
   -3   -3   -2    8    7   0.0137851547   0.0000209693
   -3   -3   -2    8    8   0.0137537888   0.0000213100
   -3   -3   -1    1    1   0.0171668795   0.0000154479
   -3   -3   -1    1    2   0.0166578652   0.0000161474
   -3   -3   -1    1    3   0.0173203873   0.0000153331
   -3   -3   -1    1    4   0.0173318096   0.0000153576
   -3   -3   -1    1    5   0.0191325913   0.0000132405
   -3   -3   -1    1    6   0.0187357168   0.0000142898
   -3   -3   -1    1    7   0.0191069700   0.0000134091
   -3   -3   -1    1    8   0.0190937521   0.0000133698
   -3   -3   -1    2    1   0.0176035428   0.0000147666
   -3   -3   -1    2    2   0.0171502319   0.0000154072
   -3   -3   -1    2    3   0.0177511247   0.0000145541
   -3   -3   -1    2    4   0.0177614788   0.0000145780
   -3   -3   -1    2    5   0.0199579361   0.0000134093
   -3   -3   -1    2    6   0.0193944133   0.0000140585
   -3   -3   -1    2    7   0.0196351131   0.0000132094
   -3   -3   -1    2    8   0.0196222268   0.0000131806
   -3   -3   -1    3    1   0.0177644927   0.0000145848
   -3   -3   -1    3    2   0.0173194522   0.0000153285
